variant,label,positives,auroc,threshold,balanced_acc
12lead,SEPTAL INFARCT,234,0.9456,0.15,0.8955
12lead,LEFT ATRIAL ENLARGEMENT,42,0.8202,0.12,0.742
12lead,NONSPECIFIC T WAVE ABNORMALITY,0,,,
12lead,LOW VOLTAGE QRS,322,0.6126,0.02,0.5879
12lead,PREMATURE ATRIAL COMPLEXES,0,,,
12lead,ANTERIOR INFARCT,35,0.62,0.03,0.6327
12lead,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,0,,,
12lead,PREMATURE SUPRAVENTRICULAR COMPLEXES,0,,,
12lead,LEFT BUNDLE BRANCH BLOCK,62,0.9837,0.14,0.9739
12lead,NONSPECIFIC T WAVE ABNORMALITY NOW EVIDENT IN,0,,,
12lead,NONSPECIFIC T WAVE ABNORMALITY NO LONGER EVIDENT IN,0,,,
12lead,T WAVE INVERSION NOW EVIDENT IN,0,,,
12lead,LATERAL INFARCT,100,0.8928,0.06,0.8109
12lead,NONSPECIFIC ST ABNORMALITY,0,,,
12lead,LEFT VENTRICULAR HYPERTROPHY,234,0.901,0.12,0.833
12lead,T WAVE INVERSION NO LONGER EVIDENT IN,0,,,
12lead,WITH RAPID VENTRICULAR RESPONSE,0,,,
12lead,QT HAS SHORTENED,0,,,
12lead,QT HAS LENGTHENED,11,,,
12lead,FUSION COMPLEXES,0,,,
12lead,ATRIAL FLUTTER,7,,,
12lead,MARKED SINUS BRADYCARDIA,0,,,
12lead,WITH SINUS ARRHYTHMIA,0,,,
12lead,NONSPECIFIC ST AND T WAVE ABNORMALITY,0,,,
12lead,LEFT ANTERIOR FASCICULAR BLOCK,162,0.9686,0.02,0.9117
12lead,RIGHT AXIS DEVIATION,0,,,
12lead,ECTOPIC ATRIAL RHYTHM,0,,,
12lead,UNDETERMINED RHYTHM,0,,,
12lead,ANTEROSEPTAL INFARCT,234,0.9498,0.08,0.8896
12lead,RIGHTWARD AXIS,0,,,
12lead,ST NOW DEPRESSED IN,0,,,
12lead,WITH SHORT PR,0,,,
12lead,WITH MARKED SINUS ARRHYTHMIA,0,,,
12lead,ST NO LONGER DEPRESSED IN,0,,,
12lead,INVERTED T WAVES HAVE REPLACED NONSPECIFIC T WAVE ABNORMALITY IN,0,,,
12lead,NON-SPECIFIC CHANGE IN ST SEGMENT IN,0,,,
12lead,NONSPECIFIC T WAVE ABNORMALITY HAS REPLACED INVERTED T WAVES IN,0,,,
12lead,JUNCTIONAL RHYTHM,0,,,
12lead,ELECTRONIC ATRIAL PACEMAKER,28,0.8708,0.02,0.8129
12lead,ABERRANT CONDUCTION,0,,,
12lead,ELECTRONIC VENTRICULAR PACEMAKER,0,,,
12lead,T WAVE INVERSION LESS EVIDENT IN,0,,,
12lead,ANTEROLATERAL INFARCT,27,0.9142,0.04,0.8434
12lead,WITH REPOLARIZATION ABNORMALITY,0,,,
12lead,RSR' OR QR PATTERN IN V1 SUGGESTS RIGHT VENTRICULAR CONDUCTION DELAY,0,,,
12lead,T WAVE INVERSION MORE EVIDENT IN,0,,,
12lead,WIDE QRS RHYTHM,0,,,
12lead,WITH PREMATURE VENTRICULAR OR ABERRANTLY CONDUCTED COMPLEXES,0,,,
12lead,RIGHT ATRIAL ENLARGEMENT,10,,,
12lead,INFERIOR INFARCT,267,0.8543,0.01,0.7737
12lead,INCOMPLETE LEFT BUNDLE BRANCH BLOCK,0,,,
12lead,VOLTAGE CRITERIA FOR LEFT VENTRICULAR HYPERTROPHY,0,,,
12lead,OR DIGITALIS EFFECT,0,,,
12lead,BIFASCICULAR BLOCK,0,,,
12lead,ST NO LONGER ELEVATED IN,0,,,
12lead,WITH SLOW VENTRICULAR RESPONSE,0,,,
12lead,ST ELEVATION NOW PRESENT IN,0,,,
12lead,PREMATURE ECTOPIC COMPLEXES,0,,,
12lead,LEFT POSTERIOR FASCICULAR BLOCK,18,,,
12lead,T WAVE AMPLITUDE HAS DECREASED IN,0,,,
12lead,WITH A COMPETING JUNCTIONAL PACEMAKER,0,,,
12lead,RIGHT SUPERIOR AXIS DEVIATION,0,,,
12lead,BIATRIAL ENLARGEMENT,0,,,
12lead,VENTRICULAR-PACED RHYTHM,0,,,
12lead,ATRIAL-PACED RHYTHM,0,,,
12lead,T WAVE AMPLITUDE HAS INCREASED IN,0,,,
12lead,WITH QRS WIDENING,322,0.5282,0.04,0.5235
12lead,WITH 1ST DEGREE AV BLOCK,79,0.9054,0.01,0.7908
12lead,PROLONGED QT,0,,,
12lead,WITH PROLONGED AV CONDUCTION,0,,,
12lead,RIGHT VENTRICULAR HYPERTROPHY,12,,,
12lead,WITH QRS WIDENING AND REPOLARIZATION ABNORMALITY,0,,,
12lead,ATRIAL-SENSED VENTRICULAR-PACED RHYTHM,0,,,
12lead,AV SEQUENTIAL OR DUAL CHAMBER ELECTRONIC PACEMAKER,0,,,
12lead,PULMONARY DISEASE PATTERN,0,,,
12lead,ACUTE MI / STEMI,0,,,
12lead,INFERIOR-POSTERIOR INFARCT,0,,,
12lead,NONSPECIFIC INTRAVENTRICULAR CONDUCTION DELAY,0,,,
12lead,PREMATURE VENTRICULAR AND FUSION COMPLEXES,0,,,
12lead,IN A PATTERN OF BIGEMINY,0,,,
12lead,AV DUAL-PACED RHYTHM,0,,,
12lead,SUPRAVENTRICULAR TACHYCARDIA,5,,,
12lead,VENTRICULAR-PACED COMPLEXES,0,,,
12lead,WIDE QRS TACHYCARDIA,0,,,
12lead,RSR' PATTERN IN V1,0,,,
12lead,ST LESS DEPRESSED IN,0,,,
12lead,VENTRICULAR TACHYCARDIA,5,,,
12lead,EARLY REPOLARIZATION,0,,,
12lead,ST MORE DEPRESSED IN,0,,,
12lead,ANTEROLATERAL LEADS,66,0.8098,0.01,0.7286
12lead,ELECTRONIC DEMAND PACING,0,,,
12lead,RBBB AND LEFT ANTERIOR FASCICULAR BLOCK,0,,,
12lead,LATERAL INJURY PATTERN,0,,,
12lead,BIVENTRICULAR PACEMAKER DETECTED,0,,,
12lead,SUSPECT UNSPECIFIED PACEMAKER FAILURE,0,,,
12lead,WOLFF-PARKINSON-WHITE,8,,,
12lead,WITH VENTRICULAR ESCAPE COMPLEXES,0,,,
12lead,INFERIOR INJURY PATTERN,0,,,
12lead,CONSIDER RIGHT VENTRICULAR INVOLVEMENT IN ACUTE INFERIOR INFARCT,0,,,
12lead,ST ELEVATION HAS REPLACED ST DEPRESSION IN,0,,,
12lead,NONSPECIFIC INTRAVENTRICULAR BLOCK,79,0.7084,0.01,0.5565
12lead,MASKED BY FASCICULAR BLOCK,0,,,
12lead,PEDIATRIC ECG ANALYSIS,0,,,
12lead,BLOCKED,0,,,
12lead,WITH UNDETERMINED RHYTHM IRREGULARITY,0,,,
12lead,LEFTWARD AXIS,0,,,
12lead,WITH 2ND DEGREE SA BLOCK MOBITZ I,0,,,
12lead,ACUTE,0,,,
12lead,ABNORMAL LEFT AXIS DEVIATION,0,,,
12lead,WITH COMPLETE HEART BLOCK,0,,,
12lead,NO P-WAVES FOUND,0,,,
12lead,ST LESS ELEVATED IN,0,,,
12lead,WITH RETROGRADE CONDUCTION,0,,,
12lead,ST MORE ELEVATED IN,0,,,
12lead,JUNCTIONAL BRADYCARDIA,0,,,
12lead,WITH VARIABLE AV BLOCK,0,,,
12lead,ANTERIOR INJURY PATTERN,0,,,
12lead,WITH JUNCTIONAL ESCAPE COMPLEXES,0,,,
12lead,ACUTE MI,0,,,
12lead,ACUTE PERICARDITIS,0,,,
12lead,POSTERIOR INFARCT,0,,,
12lead,IDIOVENTRICULAR RHYTHM,0,,,
12lead,WITH 2ND DEGREE SA BLOCK MOBITZ II,0,,,
12lead,R IN AVL,0,,,
12lead,SINUS/ATRIAL CAPTURE,0,,,
12lead,AV DUAL-PACED COMPLEXES,0,,,
12lead,INFEROLATERAL INJURY PATTERN,0,,,
12lead,RBBB AND LEFT POSTERIOR FASCICULAR BLOCK,0,,,
12lead,ANTEROLATERAL INJURY PATTERN,0,,,
12lead,ATRIAL-PACED COMPLEXES,0,,,
12lead,WITH SINUS PAUSE,0,,,
12lead,BIVENTRICULAR HYPERTROPHY,0,,,
12lead,ABNORMAL RIGHT AXIS DEVIATION,0,,,
12lead,SUPRAVENTRICULAR COMPLEXES,0,,,
12lead,WITH 2ND DEGREE AV BLOCK MOBITZ I,0,,,
12lead,WITH 2:1 AV CONDUCTION,0,,,
12lead,WITH AV DISSOCIATION,0,,,
12lead,MULTIFOCAL ATRIAL TACHYCARDIA,0,,,
12lead_bandpass,ABNORMAL ECG,0,,,
12lead_bandpass,NORMAL SINUS RHYTHM,0,,,
12lead_bandpass,NORMAL ECG,963,0.8692,0.03,0.7822
12lead_bandpass,SINUS RHYTHM,1674,0.7972,0.99,0.7666
12lead_bandpass,SINUS BRADYCARDIA,64,0.9478,0.94,0.9131
12lead_bandpass,ATRIAL FIBRILLATION,152,0.9754,0.36,0.9612
12lead_bandpass,SINUS TACHYCARDIA,82,0.9872,0.93,0.9767
12lead_bandpass,otherwise normal ecg,0,,,
12lead_bandpass,LEFT AXIS DEVIATION,0,,,
12lead_bandpass,PREMATURE VENTRICULAR COMPLEXES,114,0.9838,0.25,0.9656
12lead_bandpass,BORDERLINE ECG,0,,,
12lead_bandpass,RIGHT BUNDLE BRANCH BLOCK,166,0.9777,0.13,0.9317
12lead_bandpass,SEPTAL INFARCT,234,0.9454,0.16,0.8894
12lead_bandpass,LEFT ATRIAL ENLARGEMENT,42,0.8329,0.28,0.7652
12lead_bandpass,NONSPECIFIC T WAVE ABNORMALITY,0,,,
12lead_bandpass,LOW VOLTAGE QRS,322,0.6206,0.02,0.5906
12lead_bandpass,PREMATURE ATRIAL COMPLEXES,0,,,
12lead_bandpass,ANTERIOR INFARCT,35,0.6466,0.03,0.6678
12lead_bandpass,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,0,,,
12lead_bandpass,PREMATURE SUPRAVENTRICULAR COMPLEXES,0,,,
12lead_bandpass,LEFT BUNDLE BRANCH BLOCK,62,0.9819,0.14,0.9697
12lead_bandpass,NONSPECIFIC T WAVE ABNORMALITY NOW EVIDENT IN,0,,,
12lead_bandpass,NONSPECIFIC T WAVE ABNORMALITY NO LONGER EVIDENT IN,0,,,
12lead_bandpass,T WAVE INVERSION NOW EVIDENT IN,0,,,
12lead_bandpass,LATERAL INFARCT,100,0.8874,0.05,0.8094
12lead_bandpass,NONSPECIFIC ST ABNORMALITY,0,,,
12lead_bandpass,LEFT VENTRICULAR HYPERTROPHY,234,0.9014,0.16,0.8344
12lead_bandpass,T WAVE INVERSION NO LONGER EVIDENT IN,0,,,
12lead_bandpass,WITH RAPID VENTRICULAR RESPONSE,0,,,
12lead_bandpass,QT HAS SHORTENED,0,,,
12lead_bandpass,QT HAS LENGTHENED,11,,,
12lead_bandpass,FUSION COMPLEXES,0,,,
12lead_bandpass,ATRIAL FLUTTER,7,,,
12lead_bandpass,MARKED SINUS BRADYCARDIA,0,,,
12lead_bandpass,WITH SINUS ARRHYTHMIA,0,,,
12lead_bandpass,NONSPECIFIC ST AND T WAVE ABNORMALITY,0,,,
12lead_bandpass,LEFT ANTERIOR FASCICULAR BLOCK,162,0.9727,0.02,0.9143
12lead_bandpass,RIGHT AXIS DEVIATION,0,,,
12lead_bandpass,ECTOPIC ATRIAL RHYTHM,0,,,
12lead_bandpass,UNDETERMINED RHYTHM,0,,,
12lead_bandpass,ANTEROSEPTAL INFARCT,234,0.9453,0.09,0.8802
12lead_bandpass,RIGHTWARD AXIS,0,,,
12lead_bandpass,ST NOW DEPRESSED IN,0,,,
12lead_bandpass,WITH SHORT PR,0,,,
12lead_bandpass,WITH MARKED SINUS ARRHYTHMIA,0,,,
12lead_bandpass,ST NO LONGER DEPRESSED IN,0,,,
12lead_bandpass,INVERTED T WAVES HAVE REPLACED NONSPECIFIC T WAVE ABNORMALITY IN,0,,,
12lead_bandpass,NON-SPECIFIC CHANGE IN ST SEGMENT IN,0,,,
12lead_bandpass,NONSPECIFIC T WAVE ABNORMALITY HAS REPLACED INVERTED T WAVES IN,0,,,
12lead_bandpass,JUNCTIONAL RHYTHM,0,,,
12lead_bandpass,ELECTRONIC ATRIAL PACEMAKER,28,0.8953,0.02,0.8474
12lead_bandpass,ABERRANT CONDUCTION,0,,,
12lead_bandpass,ELECTRONIC VENTRICULAR PACEMAKER,0,,,
12lead_bandpass,T WAVE INVERSION LESS EVIDENT IN,0,,,
12lead_bandpass,ANTEROLATERAL INFARCT,27,0.9124,0.04,0.8411
12lead_bandpass,WITH REPOLARIZATION ABNORMALITY,0,,,
12lead_bandpass,RSR' OR QR PATTERN IN V1 SUGGESTS RIGHT VENTRICULAR CONDUCTION DELAY,0,,,
12lead_bandpass,T WAVE INVERSION MORE EVIDENT IN,0,,,
12lead_bandpass,WIDE QRS RHYTHM,0,,,
12lead_bandpass,WITH PREMATURE VENTRICULAR OR ABERRANTLY CONDUCTED COMPLEXES,0,,,
12lead_bandpass,RIGHT ATRIAL ENLARGEMENT,10,,,
12lead_bandpass,INFERIOR INFARCT,267,0.8707,0.01,0.7295
12lead_bandpass,INCOMPLETE LEFT BUNDLE BRANCH BLOCK,0,,,
12lead_bandpass,VOLTAGE CRITERIA FOR LEFT VENTRICULAR HYPERTROPHY,0,,,
12lead_bandpass,OR DIGITALIS EFFECT,0,,,
12lead_bandpass,BIFASCICULAR BLOCK,0,,,
12lead_bandpass,ST NO LONGER ELEVATED IN,0,,,
12lead_bandpass,WITH SLOW VENTRICULAR RESPONSE,0,,,
12lead_bandpass,ST ELEVATION NOW PRESENT IN,0,,,
12lead_bandpass,PREMATURE ECTOPIC COMPLEXES,0,,,
12lead_bandpass,LEFT POSTERIOR FASCICULAR BLOCK,18,,,
12lead_bandpass,T WAVE AMPLITUDE HAS DECREASED IN,0,,,
12lead_bandpass,WITH A COMPETING JUNCTIONAL PACEMAKER,0,,,
12lead_bandpass,RIGHT SUPERIOR AXIS DEVIATION,0,,,
12lead_bandpass,BIATRIAL ENLARGEMENT,0,,,
12lead_bandpass,VENTRICULAR-PACED RHYTHM,0,,,
12lead_bandpass,ATRIAL-PACED RHYTHM,0,,,
12lead_bandpass,T WAVE AMPLITUDE HAS INCREASED IN,0,,,
12lead_bandpass,WITH QRS WIDENING,322,0.5354,0.01,0.5257
12lead_bandpass,WITH 1ST DEGREE AV BLOCK,79,0.9027,0.01,0.6556
12lead_bandpass,PROLONGED QT,0,,,
12lead_bandpass,WITH PROLONGED AV CONDUCTION,0,,,
12lead_bandpass,RIGHT VENTRICULAR HYPERTROPHY,12,,,
12lead_bandpass,WITH QRS WIDENING AND REPOLARIZATION ABNORMALITY,0,,,
12lead_bandpass,ATRIAL-SENSED VENTRICULAR-PACED RHYTHM,0,,,
12lead_bandpass,AV SEQUENTIAL OR DUAL CHAMBER ELECTRONIC PACEMAKER,0,,,
12lead_bandpass,PULMONARY DISEASE PATTERN,0,,,
12lead_bandpass,ACUTE MI / STEMI,0,,,
12lead_bandpass,INFERIOR-POSTERIOR INFARCT,0,,,
12lead_bandpass,NONSPECIFIC INTRAVENTRICULAR CONDUCTION DELAY,0,,,
12lead_bandpass,PREMATURE VENTRICULAR AND FUSION COMPLEXES,0,,,
12lead_bandpass,IN A PATTERN OF BIGEMINY,0,,,
12lead_bandpass,AV DUAL-PACED RHYTHM,0,,,
12lead_bandpass,SUPRAVENTRICULAR TACHYCARDIA,5,,,
12lead_bandpass,VENTRICULAR-PACED COMPLEXES,0,,,
12lead_bandpass,WIDE QRS TACHYCARDIA,0,,,
12lead_bandpass,RSR' PATTERN IN V1,0,,,
12lead_bandpass,ST LESS DEPRESSED IN,0,,,
12lead_bandpass,VENTRICULAR TACHYCARDIA,5,,,
12lead_bandpass,EARLY REPOLARIZATION,0,,,
12lead_bandpass,ST MORE DEPRESSED IN,0,,,
12lead_bandpass,ANTEROLATERAL LEADS,66,0.831,0.01,0.6416
12lead_bandpass,ELECTRONIC DEMAND PACING,0,,,
12lead_bandpass,RBBB AND LEFT ANTERIOR FASCICULAR BLOCK,0,,,
12lead_bandpass,LATERAL INJURY PATTERN,0,,,
12lead_bandpass,BIVENTRICULAR PACEMAKER DETECTED,0,,,
12lead_bandpass,SUSPECT UNSPECIFIED PACEMAKER FAILURE,0,,,
12lead_bandpass,WOLFF-PARKINSON-WHITE,8,,,
12lead_bandpass,WITH VENTRICULAR ESCAPE COMPLEXES,0,,,
12lead_bandpass,INFERIOR INJURY PATTERN,0,,,
12lead_bandpass,CONSIDER RIGHT VENTRICULAR INVOLVEMENT IN ACUTE INFERIOR INFARCT,0,,,
12lead_bandpass,ST ELEVATION HAS REPLACED ST DEPRESSION IN,0,,,
12lead_bandpass,NONSPECIFIC INTRAVENTRICULAR BLOCK,79,0.7297,0.01,0.5451
12lead_bandpass,MASKED BY FASCICULAR BLOCK,0,,,
12lead_bandpass,PEDIATRIC ECG ANALYSIS,0,,,
12lead_bandpass,BLOCKED,0,,,
12lead_bandpass,WITH UNDETERMINED RHYTHM IRREGULARITY,0,,,
12lead_bandpass,LEFTWARD AXIS,0,,,
12lead_bandpass,WITH 2ND DEGREE SA BLOCK MOBITZ I,0,,,
12lead_bandpass,ACUTE,0,,,
12lead_bandpass,ABNORMAL LEFT AXIS DEVIATION,0,,,
12lead_bandpass,WITH COMPLETE HEART BLOCK,0,,,
12lead_bandpass,NO P-WAVES FOUND,0,,,
12lead_bandpass,ST LESS ELEVATED IN,0,,,
12lead_bandpass,WITH RETROGRADE CONDUCTION,0,,,
12lead_bandpass,ST MORE ELEVATED IN,0,,,
12lead_bandpass,JUNCTIONAL BRADYCARDIA,0,,,
12lead_bandpass,WITH VARIABLE AV BLOCK,0,,,
12lead_bandpass,ANTERIOR INJURY PATTERN,0,,,
12lead_bandpass,WITH JUNCTIONAL ESCAPE COMPLEXES,0,,,
12lead_bandpass,ACUTE MI,0,,,
12lead_bandpass,ACUTE PERICARDITIS,0,,,
12lead_bandpass,POSTERIOR INFARCT,0,,,
12lead_bandpass,IDIOVENTRICULAR RHYTHM,0,,,
12lead_bandpass,WITH 2ND DEGREE SA BLOCK MOBITZ II,0,,,
12lead_bandpass,R IN AVL,0,,,
12lead_bandpass,SINUS/ATRIAL CAPTURE,0,,,
12lead_bandpass,AV DUAL-PACED COMPLEXES,0,,,
12lead_bandpass,INFEROLATERAL INJURY PATTERN,0,,,
12lead_bandpass,RBBB AND LEFT POSTERIOR FASCICULAR BLOCK,0,,,
12lead_bandpass,ANTEROLATERAL INJURY PATTERN,0,,,
12lead_bandpass,ATRIAL-PACED COMPLEXES,0,,,
12lead_bandpass,WITH SINUS PAUSE,0,,,
12lead_bandpass,BIVENTRICULAR HYPERTROPHY,0,,,
12lead_bandpass,ABNORMAL RIGHT AXIS DEVIATION,0,,,
12lead_bandpass,SUPRAVENTRICULAR COMPLEXES,0,,,
12lead_bandpass,WITH 2ND DEGREE AV BLOCK MOBITZ I,0,,,
12lead_bandpass,WITH 2:1 AV CONDUCTION,0,,,
12lead_bandpass,WITH AV DISSOCIATION,0,,,
12lead_bandpass,MULTIFOCAL ATRIAL TACHYCARDIA,0,,,
1lead_II_bandpass,ABNORMAL ECG,0,,,
1lead_II_bandpass,NORMAL SINUS RHYTHM,0,,,
1lead_II_bandpass,NORMAL ECG,963,0.7975,0.02,0.7373
1lead_II_bandpass,SINUS RHYTHM,1674,0.8183,0.99,0.7619
1lead_II_bandpass,SINUS BRADYCARDIA,64,0.9472,0.42,0.9094
1lead_II_bandpass,ATRIAL FIBRILLATION,152,0.9754,0.57,0.9596
1lead_II_bandpass,SINUS TACHYCARDIA,82,0.9818,0.94,0.9737
1lead_II_bandpass,otherwise normal ecg,0,,,
1lead_II_bandpass,LEFT AXIS DEVIATION,0,,,
1lead_II_bandpass,PREMATURE VENTRICULAR COMPLEXES,114,0.9338,0.69,0.8781
1lead_II_bandpass,BORDERLINE ECG,0,,,
1lead_II_bandpass,RIGHT BUNDLE BRANCH BLOCK,166,0.816,0.56,0.7656
1lead_II_bandpass,SEPTAL INFARCT,234,0.7341,0.31,0.695
1lead_II_bandpass,LEFT ATRIAL ENLARGEMENT,42,0.6433,0.75,0.6429
1lead_II_bandpass,NONSPECIFIC T WAVE ABNORMALITY,0,,,
1lead_II_bandpass,LOW VOLTAGE QRS,322,0.6119,0.04,0.5808
1lead_II_bandpass,PREMATURE ATRIAL COMPLEXES,0,,,
1lead_II_bandpass,ANTERIOR INFARCT,35,0.6347,0.16,0.6126
1lead_II_bandpass,INCOMPLETE RIGHT BUNDLE BRANCH BLOCK,0,,,
1lead_II_bandpass,PREMATURE SUPRAVENTRICULAR COMPLEXES,0,,,
1lead_II_bandpass,LEFT BUNDLE BRANCH BLOCK,62,0.9493,0.12,0.888
1lead_II_bandpass,NONSPECIFIC T WAVE ABNORMALITY NOW EVIDENT IN,0,,,
1lead_II_bandpass,NONSPECIFIC T WAVE ABNORMALITY NO LONGER EVIDENT IN,0,,,
1lead_II_bandpass,T WAVE INVERSION NOW EVIDENT IN,0,,,
1lead_II_bandpass,LATERAL INFARCT,100,0.7956,0.34,0.7295
1lead_II_bandpass,NONSPECIFIC ST ABNORMALITY,0,,,
1lead_II_bandpass,LEFT VENTRICULAR HYPERTROPHY,234,0.6586,0.34,0.6196
1lead_II_bandpass,T WAVE INVERSION NO LONGER EVIDENT IN,0,,,
1lead_II_bandpass,WITH RAPID VENTRICULAR RESPONSE,0,,,
1lead_II_bandpass,QT HAS SHORTENED,0,,,
1lead_II_bandpass,QT HAS LENGTHENED,11,,,
1lead_II_bandpass,FUSION COMPLEXES,0,,,
1lead_II_bandpass,ATRIAL FLUTTER,7,,,
1lead_II_bandpass,MARKED SINUS BRADYCARDIA,0,,,
1lead_II_bandpass,WITH SINUS ARRHYTHMIA,0,,,
1lead_II_bandpass,NONSPECIFIC ST AND T WAVE ABNORMALITY,0,,,
1lead_II_bandpass,LEFT ANTERIOR FASCICULAR BLOCK,162,0.4798,0.02,0.535
1lead_II_bandpass,RIGHT AXIS DEVIATION,0,,,
1lead_II_bandpass,ECTOPIC ATRIAL RHYTHM,0,,,
1lead_II_bandpass,UNDETERMINED RHYTHM,0,,,
1lead_II_bandpass,ANTEROSEPTAL INFARCT,234,0.6588,0.14,0.6223
1lead_II_bandpass,RIGHTWARD AXIS,0,,,
1lead_II_bandpass,ST NOW DEPRESSED IN,0,,,
1lead_II_bandpass,WITH SHORT PR,0,,,
1lead_II_bandpass,WITH MARKED SINUS ARRHYTHMIA,0,,,
1lead_II_bandpass,ST NO LONGER DEPRESSED IN,0,,,
1lead_II_bandpass,INVERTED T WAVES HAVE REPLACED NONSPECIFIC T WAVE ABNORMALITY IN,0,,,
1lead_II_bandpass,NON-SPECIFIC CHANGE IN ST SEGMENT IN,0,,,
1lead_II_bandpass,NONSPECIFIC T WAVE ABNORMALITY HAS REPLACED INVERTED T WAVES IN,0,,,
1lead_II_bandpass,JUNCTIONAL RHYTHM,0,,,
1lead_II_bandpass,ELECTRONIC ATRIAL PACEMAKER,28,0.8967,0.02,0.7998
1lead_II_bandpass,ABERRANT CONDUCTION,0,,,
1lead_II_bandpass,ELECTRONIC VENTRICULAR PACEMAKER,0,,,
1lead_II_bandpass,T WAVE INVERSION LESS EVIDENT IN,0,,,
1lead_II_bandpass,ANTEROLATERAL INFARCT,27,0.7872,0.09,0.7402
1lead_II_bandpass,WITH REPOLARIZATION ABNORMALITY,0,,,
1lead_II_bandpass,RSR' OR QR PATTERN IN V1 SUGGESTS RIGHT VENTRICULAR CONDUCTION DELAY,0,,,
1lead_II_bandpass,T WAVE INVERSION MORE EVIDENT IN,0,,,
1lead_II_bandpass,WIDE QRS RHYTHM,0,,,
1lead_II_bandpass,WITH PREMATURE VENTRICULAR OR ABERRANTLY CONDUCTED COMPLEXES,0,,,
1lead_II_bandpass,RIGHT ATRIAL ENLARGEMENT,10,,,
1lead_II_bandpass,INFERIOR INFARCT,267,0.5172,0.01,0.5028
1lead_II_bandpass,INCOMPLETE LEFT BUNDLE BRANCH BLOCK,0,,,
1lead_II_bandpass,VOLTAGE CRITERIA FOR LEFT VENTRICULAR HYPERTROPHY,0,,,
1lead_II_bandpass,OR DIGITALIS EFFECT,0,,,
1lead_II_bandpass,BIFASCICULAR BLOCK,0,,,
1lead_II_bandpass,ST NO LONGER ELEVATED IN,0,,,
1lead_II_bandpass,WITH SLOW VENTRICULAR RESPONSE,0,,,
1lead_II_bandpass,ST ELEVATION NOW PRESENT IN,0,,,
1lead_II_bandpass,PREMATURE ECTOPIC COMPLEXES,0,,,
1lead_II_bandpass,LEFT POSTERIOR FASCICULAR BLOCK,18,,,
1lead_II_bandpass,T WAVE AMPLITUDE HAS DECREASED IN,0,,,
1lead_II_bandpass,WITH A COMPETING JUNCTIONAL PACEMAKER,0,,,
1lead_II_bandpass,RIGHT SUPERIOR AXIS DEVIATION,0,,,
1lead_II_bandpass,BIATRIAL ENLARGEMENT,0,,,
1lead_II_bandpass,VENTRICULAR-PACED RHYTHM,0,,,
1lead_II_bandpass,ATRIAL-PACED RHYTHM,0,,,
1lead_II_bandpass,T WAVE AMPLITUDE HAS INCREASED IN,0,,,
1lead_II_bandpass,WITH QRS WIDENING,322,0.4763,0.92,0.5027
1lead_II_bandpass,WITH 1ST DEGREE AV BLOCK,79,0.8564,0.01,0.5
1lead_II_bandpass,PROLONGED QT,0,,,
1lead_II_bandpass,WITH PROLONGED AV CONDUCTION,0,,,
1lead_II_bandpass,RIGHT VENTRICULAR HYPERTROPHY,12,,,
1lead_II_bandpass,WITH QRS WIDENING AND REPOLARIZATION ABNORMALITY,0,,,
1lead_II_bandpass,ATRIAL-SENSED VENTRICULAR-PACED RHYTHM,0,,,
1lead_II_bandpass,AV SEQUENTIAL OR DUAL CHAMBER ELECTRONIC PACEMAKER,0,,,
1lead_II_bandpass,PULMONARY DISEASE PATTERN,0,,,
1lead_II_bandpass,ACUTE MI / STEMI,0,,,
1lead_II_bandpass,INFERIOR-POSTERIOR INFARCT,0,,,
1lead_II_bandpass,NONSPECIFIC INTRAVENTRICULAR CONDUCTION DELAY,0,,,
1lead_II_bandpass,PREMATURE VENTRICULAR AND FUSION COMPLEXES,0,,,
1lead_II_bandpass,IN A PATTERN OF BIGEMINY,0,,,
1lead_II_bandpass,AV DUAL-PACED RHYTHM,0,,,
1lead_II_bandpass,SUPRAVENTRICULAR TACHYCARDIA,5,,,
1lead_II_bandpass,VENTRICULAR-PACED COMPLEXES,0,,,
1lead_II_bandpass,WIDE QRS TACHYCARDIA,0,,,
1lead_II_bandpass,RSR' PATTERN IN V1,0,,,
1lead_II_bandpass,ST LESS DEPRESSED IN,0,,,
1lead_II_bandpass,VENTRICULAR TACHYCARDIA,5,,,
1lead_II_bandpass,EARLY REPOLARIZATION,0,,,
1lead_II_bandpass,ST MORE DEPRESSED IN,0,,,
1lead_II_bandpass,ANTEROLATERAL LEADS,66,0.5569,0.02,0.5
1lead_II_bandpass,ELECTRONIC DEMAND PACING,0,,,
1lead_II_bandpass,RBBB AND LEFT ANTERIOR FASCICULAR BLOCK,0,,,
1lead_II_bandpass,LATERAL INJURY PATTERN,0,,,
1lead_II_bandpass,BIVENTRICULAR PACEMAKER DETECTED,0,,,
1lead_II_bandpass,SUSPECT UNSPECIFIED PACEMAKER FAILURE,0,,,
1lead_II_bandpass,WOLFF-PARKINSON-WHITE,8,,,
1lead_II_bandpass,WITH VENTRICULAR ESCAPE COMPLEXES,0,,,
1lead_II_bandpass,INFERIOR INJURY PATTERN,0,,,
1lead_II_bandpass,CONSIDER RIGHT VENTRICULAR INVOLVEMENT IN ACUTE INFERIOR INFARCT,0,,,
1lead_II_bandpass,ST ELEVATION HAS REPLACED ST DEPRESSION IN,0,,,
